行业代码,行业名称,FC平均值,KZ平均值,SA平均值,WW平均值
A01,农业,0.4796343050847458,2.8788123672316384,-3.611489638418079,-0.971666720338983
A02,林业,0.5289733863636363,4.091559318181818,-3.6826155340909095,-1.521865090909091
A03,畜牧业,0.435369068627451,1.7223719852941175,-3.728984254901961,-0.9902946617647058
A04,渔业,0.5760065028901734,2.6758170867052025,-3.6661344971098266,-0.9492231791907514
A05,农、林、牧、渔服务业,0.6220275399999999,3.38607936,-3.58594002,-0.9445868799999999
B06,煤炭开采和洗选业,0.20496866732673266,1.4278529742574257,-3.5951894871287124,-1.0400137801980198
B07,石油和天然气开采业,0.16254373333333333,1.0532266,-3.2141527714285716,-1.0819587714285714
B08,黑色金属矿采选业,0.4576302105263158,1.480066302631579,-3.8512442236842106,-0.9633529210526316
B09,有色金属矿采选业,0.3109965142857143,1.6028073904761904,-3.7772366952380954,-1.0475921714285714
B10,非金属矿采选业,0.48800279999999996,2.2792786,-3.9308039999999997,-1.0139610000000001
B11,开采辅助活动,0.44708852121212117,1.7128053212121213,-3.6695547272727276,-1.024617496969697
C13,农副食品加工业,0.4704109265687583,2.144363730307076,-3.711159679572764,-0.9892418691588785
C14,食品制造业,0.49379743316412866,0.8067002978003385,-3.827919774957699,-1.0033331252115059
C15,酒、饮料和精制茶制造业,0.46256742584434657,1.6236608781204112,-3.6960293612334807,-1.002122013215859
C17,纺织业,0.5392419652375434,2.4809418563151797,-3.682112881807648,-0.9841231900347625
C18,纺织服装、服饰业,0.539324261208577,1.336636709551657,-3.68342155165692,-0.9855069259259259
C19,皮革、毛皮、羽毛及其制品和制鞋业,0.6550964601769912,1.3142131238938053,-3.693462,-0.9732346548672566
C20,木材加工及木、竹、藤、棕、草制品业,0.5452349272727273,1.3874404272727272,-3.761557018181818,-0.9879498181818182
C21,家具制造业,0.49882899999999997,0.7546241507537689,-3.8006059547738698,-1.002298864321608
C22,造纸及纸制品业,0.45571730602006694,2.8818149799331105,-3.675303677257525,-1.2054799732441472
C23,印刷和记录媒介复制业,0.6108240204081633,1.1212458571428572,-3.8021594353741492,-0.9707877210884354
C24,文教、工美、体育和娱乐用品制造业,0.6530083454545454,0.5551144909090909,-3.834339387878788,-0.9704758484848485
C25,石油加工、炼焦及核燃料加工业,0.40255450280898875,2.9174522303370787,-3.6908046376404497,-0.9857236685393258
C26,化学原料及化学制品制造业,0.49945629464536023,1.8208338082422204,-3.722104999158957,-0.9923660984020185
C27,医药制造业,0.5144735253555968,1.473571311379097,-3.755507403215832,-1.0102068166357452
C28,化学纤维制造业,0.4081410899795501,2.7018899038854807,-3.731790290388548,-1.0061636339468303
C29,橡胶和塑料制品业,0.5529369099437148,1.7944997542213885,-3.7601442326454033,-0.9850574118198874
C30,非金属矿物制品业,0.47211289389067523,2.5263820572347266,-3.701224051446945,-1.0033373517684887
C31,黑色金属冶炼及压延加工业,0.1717120768115942,2.6142295884057973,-3.6098523289855073,-1.065629095652174
C32,有色金属冶炼及压延加工业,0.37034347250698973,2.6622832320596457,-3.7400220177073624,-1.0156490465983223
C33,金属制品业,0.5434011510297483,1.8119315400457665,-3.752111638443936,-0.9985432208237986
C34,通用设备制造业,0.5383130321350762,2.084575967864924,-3.7189760430283223,-0.9880247581699346
C35,专用设备制造业,0.555951778280543,1.6901078827010092,-3.7171919899060217,-0.9943238872258963
C36,汽车制造业,0.4232133988095238,1.9345007101190477,-3.7670090000000003,-1.0277390511904763
C37,铁路、船舶、航空航天和其它运输设备制造业,0.42736246514285714,2.8646540194285715,-3.6581196217142855,-0.9980099485714286
C38,电气机械及器材制造业,0.4943613254317643,1.8773787985099897,-3.7656714832373854,-1.002034792075855
C39,计算机、通信和其他电子设备制造业,0.5298063541930046,1.675867433206911,-3.712813834808259,-0.9934465054782975
C40,仪器仪表制造业,0.6826086784452297,1.010738777385159,-3.711850477031802,-0.9553952014134276
C41,其他制造业,0.5855895273631841,2.5280043208955223,-3.581556106965174,-0.9518827039800996
C42,废弃资源综合利用业,0.45408822413793104,2.391211775862069,-3.8208299310344827,-1.0092315689655174
C43,金属制品、机械和设备修理业,0.82237,-0.07638800000000001,-3.431954,-0.8864080000000001
D44,电力、热力生产和供应业,0.2702610291060291,2.557259652806653,-3.7289462758142755,-1.0415071843381842
D45,燃气生产和供应业,0.326771421686747,1.3339169477911648,-3.9388098433734937,-1.0474574337349396
D46,水的生产和供应业,0.3223807954545455,1.6131574863636364,-3.81753705,-1.039890309090909
E47,房屋建筑业,0.27958825,4.343168534090909,-3.6589434886363637,-0.9751633295454546
E48,土木工程建筑业,0.2684273528748591,3.4745272514092447,-3.6721763032694477,-1.0477396944757609
E49,建筑安装业,0.40799864705882355,2.3078124705882352,-3.8622554705882353,-1.063881588235294
E50,建筑装饰和其他建筑业,0.4130373651226158,3.2977901852861033,-3.762532040871935,-0.9788469700272479
F51,批发业,0.38050804261954263,2.6639413555093556,-3.8535448856548857,-1.0330357162162163
F52,零售业,0.39659969415983604,2.9514059544057374,-3.747512080430328,-0.9998635051229507
G53,铁路运输业,0.2851604776119403,0.35428640298507463,-3.6136858208955225,-1.0864260447761194
G54,道路运输业,0.3489452027027027,1.6375169707207209,-3.850810668918919,-1.0393342184684684
G55,水上运输业,0.25805502178649237,1.7078945816993465,-3.7103436405228756,-1.055246111111111
G56,航空运输业,0.18215181735159816,2.2532934566210048,-3.5673413333333333,-1.079272401826484
G57,管道运输业,0.68467775,3.62454875,-3.4194725,-0.89400575
G58,装卸搬运和运输代理业,0.4188926371882086,1.9719730725623583,-3.560048947845805,-1.0004570839002267
G59,仓储业,0.5244799180327869,1.4668290327868854,-3.74587812295082,-1.0032788032786886
G60,邮政业,0.07991419999999999,0.60991792,-3.77469796,-1.11461272
H61,住宿业,0.4816125503355705,2.8739003288590603,-3.646765563758389,-0.9608929530201341
H62,餐饮业,0.5892487872340426,2.0665661276595744,-3.753412234042553,-0.9343347234042554
I63,电信、广播电视和卫星传输服务,0.39189455956678704,1.3881848050541516,-3.5963819711191336,-1.0152882418772564
I64,互联网和相关服务,0.5090606401944895,1.8353405850891409,-3.699356555915721,-0.9582422868719611
I65,软件和信息技术服务业,0.5949787839643653,1.259264510467706,-3.754628871714922,-0.9621932026726058
K70,房地产业,0.3234676675279931,3.740665276485788,-3.7967123841515935,-1.3606459384151592
L71,租赁业,0.34080131578947365,2.6430735263157894,-3.658018035087719,-1.0256547543859649
L72,商务服务业,0.4370643250825082,2.2954249686468646,-3.738255783828383,-0.9924052095709571
M73,研究和试验发展,0.5631874183673469,-0.6182195612244898,-3.7758661020408164,-0.9887671632653061
M74,专业技术服务业,0.6296086100478469,0.5479883157894737,-3.8009014760765547,-0.9660838875598086
M75,科技推广和应用服务业,0.403184,3.4231085882352943,-3.756798941176471,-0.8995683529411764
N77,生态保护和环境治理业,0.4383246725,2.338447785,-3.8895829475,-1.0203665
N78,公共设施管理业,0.5118445089820359,2.0203838982035927,-3.781810964071856,-15.094296371257483
O79,居民服务业,0.43394911764705885,2.9147228529411766,-3.6410169705882356,-0.9465547352941177
O80,机动车、电子产品和日用产品修理业,0.63652525,4.059075,-3.293165,-0.820548
O81,其他服务业,0.45488684210526314,2.63945697368421,-3.3754036578947373,-0.9427558684210526
P82,教育,0.40836095918367343,2.129164163265306,-3.9398439183673473,-1.0088445306122449
Q83,卫生,0.4153354786324786,1.5150909743589744,-3.8734308974358975,-0.9751410170940171
R85,新闻和出版业,0.41647746186440676,0.1446226779661017,-3.7910480127118644,-1.0212713050847457
R86,广播、电视、电影和影视录音制作业,0.42954266945606695,1.8631513179916317,-3.782905359832636,-0.9934688702928871
R87,文化艺术业,0.5132761272727273,1.5088659999999998,-3.8817033636363636,-0.9930873636363636
R88,体育,0.69824,1.1072667777777778,-3.8696001111111116,-0.9614091111111112
S90,综合,0.4688432386363636,4.508341842975207,-3.6731688357438017,-0.9595691849173554
